,country,latitude,longitude
0,Austria,47.2000338,13.199959
1,Belarus,53.4250605,27.6971358
2,Belgium,50.6407351,4.66696
3,Bulgaria,42.6073975,25.4856617
4,Canada,61.0666922,-107.991707
5,Chile,-31.7613364,-71.3187696
6,China,35.000074,104.999927
7,Cornwall,50.416667,-4.7499999
8,Czech Republic,49.8167003,15.4749544
9,Egypt,26.2540493,29.2675469
10,France,46.603354,1.8883335
11,Georgia,32.3293809,-83.1137365
12,Germany,51.0834196,10.4234469
13,Greece,38.9953683,21.9877132
14,Hungary,47.1817585,19.5060937
15,Ireland,52.865196,-7.9794598
16,Israel,30.8760272,35.0015196
17,Italy,42.6384261,12.674297
18,Japan,36.5748441,139.2394179
19,Latvia,56.8666904,24.5999717
20,Lithuania,55.3500003,23.7499998
21,Marquesas Islands,24.572712,-82.1080259
22,Mexico,19.4326009,-99.1333415
23,Netherlands,52.2379891,5.53460738162
24,Norway,64.574131,11.5270102892
25,Panama,8.3096067,-81.3066245
26,Poland,52.0977181,19.0258159
27,Romania,45.9852129,24.6859225
28,Russia,64.6863136,97.7453061
29,Serbia,44.1534121,20.55144
30,Spain,40.0028028,-4.0031039
31,Sweden,59.6749712,14.5208584
32,Switzerland,46.7985624,8.2319736
33,Turkey,38.9597594,34.9249653
34,U.S. Virgin Islands,17.789187,-64.7080573
35,Ukraine,49.4871968,31.2718321
36,United Kingdom,54.7023545,-3.2765752
37,United States,39.7837304,-100.4458824
